// Aura
// Database file
// 
// Structure:
// SetId  Race  ItemId  Pocket  Color1  Color2  Color3
//---------------------------------------------------------------------------

// Normal
1, 10001, 15001,5,0,0,0
1, 10001, 17012,7,0,0,0
1, 10002, 15002,5,0,0,0
1, 10002, 17012,7,0,0,0
1, 9001,  15169,5,0,0,0
1, 9001,  17063,7,0,0,0
1, 9002,  15168,5,0,0,0
1, 9002,  17063,7,0,0,0
1, 8001,  15228,5,0,0,0
1, 8001,  17083,7,0,0,0
1, 8002,  15208,5,0,0,0
1, 8002,  17083,7,0,0,0

// Premium
2, 10001, 15101,5,0,0,0
2, 10001, 17012,7,0,0,0
2, 10002, 15097,5,0,0,0
2, 10002, 17012,7,0,0,0
2, 9001,  15173,5,0,0,0
2, 9001,  17063,7,0,0,0
2, 9002,  15172,5,0,0,0
2, 9002,  17063,7,0,0,0
2, 8001,  15229,5,0,0,0
2, 8001,  17083,7,0,0,0
2, 8002,  15219,5,0,0,0
2, 8002,  17083,7,0,0,0
